20:00:04.792 ERROR com.ctrip.flight.exchange.demo 18 main - 我是debug信息
20:00:10.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:10.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:10.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:10.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:10.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:11.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:11.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:11.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:11.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:11.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:12.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:12.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:12.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:12.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:12.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:13.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:13.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:13.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:13.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:13.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:14.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:14.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:14.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:14.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:14.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:15.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:15.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:15.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:15.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:15.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:16.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:16.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:16.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:16.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:16.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:17.896 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:17.896 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:17.896 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:17.896 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:17.901 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:18.896 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:18.896 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:18.898 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:18.927 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:18.927 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:19.897 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:19.897 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:19.899 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:19.928 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:19.928 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
